Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Landes-FS: SV Weiskirchen - SV Wahlen-Niederlosheim,15.07.2015,18:30,15.07.2015,20:00,false,"Saison 15/16 Freundschaftsspiel Landes-FS: SV Weiskirchen - SV Wahlen-Niederlosheim, Weiskirchen, Spielstätte: Weiskirchen, Rasenplatz","66709 Weiskirchen, Jugendherbergstr.",false
F-Junioren Kreisturnier: SF Rehlingen - SpVgg Merzig,18.07.2015,10:00,18.07.2015,11:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SF Rehlingen - SpVgg Merzig, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - FV Fischbach,18.07.2015,10:00,18.07.2015,11:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - FV Fischbach, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: 1.FC Schmelz 2 - SF Heidstock,18.07.2015,10:20,18.07.2015,11:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: 1.FC Schmelz 2 - SF Heidstock, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Losheim - SV Besch 1,18.07.2015,10:20,18.07.2015,11:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Losheim - SV Besch 1, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: TuS Scheiden - SpVgg Merzig,18.07.2015,10:40,18.07.2015,12:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: TuS Scheiden - SpVgg Merzig, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Besch 2 - FV Fischbach,18.07.2015,10:40,18.07.2015,12:10,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Besch 2 - FV Fischbach, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SF Rehlingen - SV Losheim,18.07.2015,11:00,18.07.2015,12:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SF Rehlingen - SV Losheim, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - 1.FC Schmelz 2,18.07.2015,11:00,18.07.2015,12:30,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Wahlen-Niederlosheim - 1.FC Schmelz 2, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
F-Junioren Kreisturnier: SV Besch 2 - SF Heidstock,18.07.2015,11:20,18.07.2015,12:50,false,"Saison 14/15 Turnier F-Junioren Kreisturnier: SV Besch 2 - SF Heidstock, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
